"EXERCÍCIO";"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO SUBORDINADO";"NOME ÓRGÃO SUBORDINADO";"CÓDIGO UNIDADE ORÇAMENTÁRIA";"NOME UNIDADE ORÇAMENTÁRIA";"CÓDIGO FUNÇÃO";"NOME FUNÇÃO";"CÓDIGO SUBFUNÇÃO";"NOME SUBFUNÇÃO";"CÓDIGO PROGRAMA ORÇAMENTÁRIO";"NOME PROGRAMA ORÇAMENTÁRIO";"CÓDIGO AÇÃO";"NOME AÇÃO";"CÓDIGO CATEGORIA ECONÔMICA";"NOME CATEGORIA ECONÔMICA";"CÓDIGO GRUPO DE DESPESA";"NOME GRUPO DE DESPESA";"CÓDIGO ELEMENTO DE DESPESA";"NOME ELEMENTO DE DESPESA";"ORÇAMENTO INICIAL (R$)";"ORÇAMENTO ATUALIZADO (R$)";"ORÇAMENTO EMPENHADO (R$)";"ORÇAMENTO REALIZADO (R$)";"% REALIZADO DO ORÇAMENTO (COM RELAÇÃO AO ORÇAMENTO ATUALIZADO)"
"2021";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"2206";"POLITICA NUCLEAR";"2B27";"PROTECAO E DESENVOLVIMENTO DO PROGRAMA NUCLEAR BRASILEIRO";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"15";"Diárias - Militar";"112863,46";"112863,46";"112863,46";"112863,46";"100,00%"
"2021";"20000";"Presidência da República";"20101";"Presidência da República";"71903";"FUNDO SOCIAL - FS";"28";"Encargos especiais";"846";"Outros encargos especiais";"0909";"OPERACOES ESPECIAIS: OUTROS ENCARGOS ESPECIAIS";"00JG";"OPERACIONALIZACAO DO FUNDO SOCIAL - FS";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"00";"Não informado";"500000,00";"500000,00";"0,00";"0,00";"0,00%"
"2021";"20000";"Presidência da República";"20415";"Empresa Brasil de Comunicação";"41261";"EMPRESA BRASIL DE COMUNICACOES S.A - EBC";"24";"Comunicações";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"20TP";"ATIVOS CIVIS DA UNIAO";"3";"DESPESAS CORRENTES";"1";"Pessoal e Encargos Sociais";"13";"Obrigações Patronais";"19095222,81";"19095222,81";"19095222,81";"19095222,81";"100,00%"
"2021";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"37";"Locação de Mão-de-Obra";"32014249,53";"32014249,53";"32014249,53";"28069308,61";"87,68%"
"2021";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2C55";"DISSEMINACAO DE CONDUTA ETICA NO PODER EXECUTIVO FEDERAL";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"14";"Diárias - Civil";"1557,45";"1557,45";"1557,45";"1557,45";"100,00%"
"2021";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"2206";"POLITICA NUCLEAR";"2B27";"PROTECAO E DESENVOLVIMENTO DO PROGRAMA NUCLEAR BRASILEIRO";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"14";"Diárias - Civil";"19065,49";"19065,49";"19065,49";"19065,49";"100,00%"
"2021";"20000";"Presidência da República";"20415";"Empresa Brasil de Comunicação";"41261";"EMPRESA BRASIL DE COMUNICACOES S.A - EBC";"24";"Comunicações";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"20TP";"ATIVOS CIVIS DA UNIAO";"3";"DESPESAS CORRENTES";"1";"Pessoal e Encargos Sociais";"92";"Despesas de Exercícios Anteriores";"3477,23";"3477,23";"3477,23";"3477,23";"100,00%"
"2021";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"47";"Obrigações Tributárias e Contributivas";"6940,40";"6940,40";"6940,40";"6940,40";"100,00%"
"2021";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2C55";"DISSEMINACAO DE CONDUTA ETICA NO PODER EXECUTIVO FEDERAL";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"13740,00";"13740,00";"13740,00";"0,00";"0,00%"
"2021";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"2206";"POLITICA NUCLEAR";"2B27";"PROTECAO E DESENVOLVIMENTO DO PROGRAMA NUCLEAR BRASILEIRO";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"62738,10";"62738,10";"62738,10";"12945,75";"20,63%"
